Movie,Income,Country,Slogan,Length
Holiday Inn,52,China,exploit synergistic e-markets,60
Filth,35,China,empower sexy schemas,80
Nine Lives (Ni liv),27,China,brand one-to-one experiences,90
Roommates,67,China,grow visionary infrastructures,120
Distant Thunder,25,China,whiteboard holistic mindshare,120
Jobs,63,China,extend 24/7 niches,80
An Alligator Named Daisy,69,China,incubate web-enabled e-tailers,80
"Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers, The",38,China,transform dynamic systems,100
Thirst (Bakjwi),39,Canada,disintermediate distributed e-commerce,60
Dark Star,45,China,transform turn-key ROI,80
Story of My Death,66,China,integrate B2C niches,90
Tokyo Drifter (Tôkyô nagaremono),69,Brazil,synergize end-to-end content,100
"Pirates! Band of Misfits, The",53,China,maximize back-end metrics,120
In the Land of Women,67,China,iterate granular vortals,100
Dersu Uzala,24,China,revolutionize ubiquitous relationships,110
Barbary Coast,14,China,visualize open-source architectures,100
Meatballs 4,93,China,maximize next-generation communities,90
Mr. Pip,25,China,seize web-enabled experiences,80
Dead Man,81,China,extend open-source convergence,120
Irma Vep,57,Canada,recontextualize collaborative architectures,110
